system,German,English,Dutch,Total
jhumingen,-131.31577726145773,-62.19985381881193,-77.82564319017823,-271.3412742704479
france2,-92.82993398656927,-42.991122172868614,-64.91689744719288,-200.73795360663075
cmu,-83.71172819417936,-40.62769620108216,-51.93421185332075,-176.27363624858225
france4,-67.87275700798247,-40.651821752721986,-35.29734233568955,-143.82192109639402
mit,-17.173381824983807,-34.51894988437007,-75.98183262293267,-127.67416433228655
france3,-11.420013622224104,-37.47546620805602,-64.11476697399968,-113.0102468042798
france1,-13.133232965918268,-33.41225753540371,-63.20858078220843,-109.75407128353041
jhusfu,-13.435351284793086,-46.02943623873094,-28.143626896606747,-87.60841442013077
